dir_name,RGB,,LAB,,,,,gamma_ed_RGB
1_1,"[46.83283759666865, 127.46995835812017, 188.86555621653778]",,"[10.49, -13.48, -13.81]",,,,,"[0.02823951960456275, 0.21393211338120585, 0.5080729370294039]"
1_10,"[45.15526472337894, 124.6252230814991, 195.66329565734682]",,"[10.19, -11.61, -14.57]",,,,,"[0.02640719255575051, 0.20375441985180573, 0.5498898700667781]"
1_11,"[30.97263533610946, 119.10291493158834, 220.04164187983343]",,"[9.05, -8.69, -18.03]",,,,,"[0.013682105165228633, 0.1848177062745032, 0.7159991758997926]"
1_12,"[39.893515764425935, 123.57822724568709, 211.76561570493755]",,"[9.87, -9.23, -16.44]",,,,,"[0.021118773516515723, 0.20008123111850384, 0.6567374686421767]"
1_13,"[43.03747769185009, 121.46103509815586, 211.41225461035097]",,"[9.66, -8.9, -16.13]",,,,,"[0.02419575420667881, 0.1927722625105451, 0.6542734729130393]"
1_14,"[44.224866151100535, 118.85068411659726, 207.25758477096966]",,"[9.4, -7.57, -16.57]",,,,,"[0.025421753310210304, 0.18397842485412924, 0.6257070230203292]"
1_15,"[41.93099345627603, 127.14872099940511, 212.21653777513384]",,"[10.08, -10.19, -16.14]",,,,,"[0.02308498143098473, 0.21276830420757625, 0.6598896086770045]"
1_16,"[43.728138013087445, 120.07614515169541, 204.48423557406306]",,"[9.43, -8.57, -16.62]",,,,,"[0.02490457137380675, 0.18807697517704927, 0.6070509992675243]"
1_17,"[40.85246876859013, 117.48126115407496, 206.5056513979774]",,"[9.38, -8.24, -16.42]",,,,,"[0.02203146794214246, 0.17946059244880933, 0.620616286719584]"
1_2,"[44.3896490184414, 126.99226650803094, 196.84711481261155]",,"[10.27, -12.3, -14.21]",,,,,"[0.025594692468498274, 0.21220282667515686, 0.5573700550637963]"
1_3,"[35.24806662700773, 122.19869125520523, 216.85425342058298]",,"[9.32, -9.0, -17.71]",,,,,"[0.017012208069923523, 0.19530079443459938, 0.6928216434616249]"
1_4,"[33.61392028554432, 120.43188578227246, 218.75550267697798]",,"[9.21, -8.66, -17.84]",,,,,"[0.015689396820637174, 0.18927662323392427, 0.706593288292378]"
1_5,"[44.8691255205235, 128.03747769185009, 194.4646044021416]",,"[10.42, -12.56, -14.0]",,,,,"[0.026101797143483044, 0.2159972329038893, 0.5423757160917307]"
1_6,"[46.814991076740036, 129.0963712076145, 187.42474717430102]",,"[10.59, -13.63, -13.5]",,,,,"[0.028219648755922616, 0.21988137094115476, 0.4994566591380109]"
1_7,"[30.330160618679358, 117.57822724568709, 220.33848899464604]",,"[8.92, -8.14, -18.47]",,,,,"[0.013217935820736902, 0.17977833686131386, 0.7181804111699447]"
1_8,"[31.979773944080904, 120.04461629982154, 219.07971445568114]",,"[8.86, -8.5, -18.51]",,,,,"[0.014428614370691017, 0.1879708664600012, 0.7089574992309223]"
1_9,"[44.83759666864961, 129.56751933372993, 198.5550267697799]",,"[10.49, -12.66, -13.97]",,,,,"[0.02606827320288699, 0.22162258721157452, 0.5682658549202685]"
2_1,"[28.995240928019037, 92.45389649018442, 213.0321237358715]",,"[6.62, 2.46, -21.37]",,,,,"[0.012283226936524332, 0.10812600663810432, 0.6656132840689537]"
2_10,"[37.023200475907196, 103.22010707911957, 202.15229030339083]",,"[7.73, -0.72, -18.2]",,,,,"[0.01852041495980712, 0.1362463919189356, 0.5916186131230171]"
2_13,"[32.07792980368828, 99.33789411064842, 227.5145746579417]",,"[7.0, 3.29, -21.31]",,,,,"[0.014502608544614272, 0.12566892013680744, 0.7720929325282809]"
2_14,"[39.252825698988694, 102.27662105889351, 180.6656751933373]",,"[7.6, -5.45, -16.05]",,,,,"[0.02052150682135035, 0.1336298581440406, 0.460178185030904]"
2_16,"[37.89946460440214, 102.71564544913741, 184.75371802498512]",,"[7.8, -5.6, -15.49]",,,,,"[0.019292589742530817, 0.13484370606140358, 0.48371035964674197]"
2_2,"[30.72873289708507, 93.99583581201665, 217.14098750743605]",,"[6.82, 2.47, -21.26]",,,,,"[0.013504792048609167, 0.11192207256521197, 0.6948884724966969]"
2_3,"[30.638905413444377, 94.3224271267103, 218.01665675193337]",,"[6.56, 2.76, -21.52]",,,,,"[0.013439828661621394, 0.11273591928393276, 0.7012226927137178]"
2_4,"[31.366448542534204, 97.71505056513979, 219.55086258179654]",,"[7.12, 1.43, -21.01]",,,,,"[0.013971253260402628, 0.12139447922785059, 0.7124014111679818]"
2_5,"[34.861392028554434, 101.05948839976205, 227.96549672813802]",,"[7.26, 3.29, -21.05]",,,,,"[0.016693554931453813, 0.13029806410727252, 0.7755568004439437]"
2_6,"[31.44854253420583, 104.785246876859, 227.56870910172518]",,"[7.49, 1.58, -20.89]",,,,,"[0.01403197350904147, 0.1406523587700095, 0.772508301768187]"
2_8,"[29.545508625817966, 95.96847114812611, 214.29208804283164]",,"[6.99, 1.52, -20.95]",,,,,"[0.012663681385012709, 0.11689023779564536, 0.6745122853602431]"
2_9,"[33.34205829863177, 100.26412849494349, 222.84770969660917]",,"[7.25, 2.66, -20.98]",,,,,"[0.01547537057168057, 0.1281473041570154, 0.7367730496343733]"
4_10,"[35.68292682926829, 107.5871505056514, 185.22010707911957]",,"[9.04, -7.09, -15.12]",,,,,"[0.017374776419232265, 0.14874500402611915, 0.4864386338284561]"
