dir_name,RGB,,LAB,,,,,,,gamma_ed_RGB
2_11,"[79.67578822129684, 138.54015466983938, 73.57346817370613]",,"[12.19, -20.33, 5.21]",,,,,,,"[0.07955755908280228, 0.25632473237584386, 0.06768451044888436]"
2_12,"[80.22903033908388, 137.97085068411658, 63.163593099345626]",,"[12.06, -19.07, 6.42]",,,,,,,"[0.08068958754860008, 0.2540351551636819, 0.04996031458494232]"
2_15,"[81.41760856632956, 138.78524687685902, 58.674598453301606]",,"[12.28, -19.63, 7.73]",,,,,,,"[0.08315324182731641, 0.2573141146193453, 0.04326876433825023]"
2_17,"[73.61273051754908, 129.1273051754908, 70.92861392028554]",,"[11.35, -19.37, 4.25]",,,,,,,"[0.06775734148508591, 0.21999544752933636, 0.06288312617741719]"
2_7,"[71.86258179654968, 129.51635930993456, 64.45151695419393]",,"[11.57, -19.18, 5.05]",,,,,,,"[0.0645551008923487, 0.22143312794000267, 0.051984394567282176]"
3_1,"[80.34860202260559, 147.1683521713266, 81.80666270077334]",,"[12.87, -18.62, 3.79]",,,,,,,"[0.08093547859259025, 0.29250329892696003, 0.0839690654804487]"
3_10,"[86.78048780487805, 149.96966091612137, 81.15764425936942]",,"[12.94, -18.44, 4.52]",,,,,,,"[0.0948112091232873, 0.30485194195928766, 0.08261069988691691]"
3_11,"[79.43188578227246, 146.0487804878049, 82.7935752528257]",,"[12.52, -18.93, 4.08]",,,,,,,"[0.0790614538378479, 0.28765117230705456, 0.08605943958933268]"
3_12,"[80.08923259964307, 146.6888756692445, 81.07436049970256]",,"[12.46, -19.02, 3.87]",,,,,,,"[0.08040265625993843, 0.29041949261482164, 0.0824373258556893]"
3_13,"[78.8578227245687, 145.2439024390244, 81.04104699583581]",,"[12.71, -18.86, 3.98]",,,,,,,"[0.07790092891194322, 0.28419212095247487, 0.08236803572951462]"
3_14,"[84.44913741820345, 148.84176085663296, 81.95419393218323]",,"[12.82, -18.52, 4.48]",,,,,,,"[0.08963361424244187, 0.2998441400031014, 0.08427964539194577]"
3_15,"[82.3753718024985, 146.31052944675787, 82.46995835812017]",,"[12.49, -18.51, 4.02]",,,,,,,"[0.08516998391795867, 0.28878133008686685, 0.08537068362180605]"
3_16,"[82.27840571088637, 148.14753123140989, 79.66032123735872]",,"[12.79, -18.55, 3.85]",,,,,,,"[0.08496452115113369, 0.2967858374450933, 0.0795260449835416]"
3_17,"[81.84176085663296, 148.05651397977394, 82.64723378941106]",,"[12.61, -18.79, 3.76]",,,,,,,"[0.0840428928116328, 0.29638623310529894, 0.08574758021358984]"
3_18,"[80.44973230220107, 144.4217727543129, 81.07495538370019]",,"[12.42, -19.26, 3.69]",,,,,,,"[0.08114378688232435, 0.2806841045790971, 0.08243856348825648]"
3_19,"[77.60559190957763, 144.79060083283758, 84.23319452706723]",,"[12.34, -19.12, 3.29]",,,,,,,"[0.0754040798480015, 0.2822547456118986, 0.08916260231182929]"
3_2,"[81.33491969066033, 144.7001784651993, 82.95954788816181]",,"[12.67, -18.74, 3.88]",,,,,,,"[0.08298044658477069, 0.2818692121321307, 0.08641393328101422]"
3_20,"[84.25104104699584, 148.96549672813802, 81.80844735276621]",,"[12.62, -19.58, 4.34]",,,,,,,"[0.0892014740492735, 0.30039115709508757, 0.08397281849925706]"
3_3,"[77.2207019631172, 144.2355740630577, 83.7560975609756]",,"[12.42, -19.0, 3.01]",,,,,,,"[0.07464615868296096, 0.279893125598073, 0.0881270925858393]"
