dir_name,lab,rgb
1_1,"[13.65, -21.47, 6.77]","['84.7786514645174', '155.55514055435424', '68.14401415372518']"
1_2,"[13.16, -20.65, 5.02]","['80.88737226013794', '149.65359477124184', '76.5356227205431']"
1_3,"[13.39, -20.85, 5.65]","['81.9688815162965', '150.76564371947285', '73.6304488065616']"
1_4,"[13.27, -20.46, 5.56]","['81.21180342255376', '150.13541026766126', '73.65028521281263']"
1_5,"[12.98, -20.38, 5.1]","['80.88650881526276', '150.15130738437952', '74.02342219572438']"
1_6,"[13.34, -20.84, 4.57]","['81.84099222926903', '150.00393947920952', '81.41226000562783']"
1_7,"[13.16, -20.89, 4.71]","['80.89312387329385', '149.40693867039477', '77.71064346418454']"
1_8,"[13.4, -20.86, 4.1]","['81.12887986569321', '150.20962011478545', '82.1183578651466']"
1_9,"[13.44, -20.81, 5.86]","['83.19171068671272', '151.87759041040226', '74.04004469727752']"
1_10,"[13.02, -20.26, 4.07]","['78.95576282478348', '146.82271818787476', '81.04790139906729']"
1_11,"[12.9, -20.86, 4.23]","['81.60691530691531', '149.60559440559442', '82.6802836052836']"
1_12,"[13.1, -20.64, 4.96]","['79.79847873039722', '147.7181143769368', '74.70943750586909']"
1_13,"[13.32, -20.74, 4.62]","['81.3720440636475', '150.48352509179927', '79.66406364749082']"
1_14,"[13.23, -20.88, 4.87]","['81.65112975370026', '149.96172083469312', '80.27187038067997']"
1_15,"[13.53, -21.43, 6.45]","['84.15450923300897', '154.38790131024442', '70.07876791050494']"
1_16,"[13.66, -21.24, 7.09]","['84.5436697037856', '154.052647630666', '65.81091075445084']"
1_17,"[13.29, -21.1, 4.49]","['80.57844469611175', '149.78418271045678', '77.27602869007173']"
2_1,"[13.48, -20.95, 5.98]","['80.75356747509309', '148.56401328368722', '71.03918687732717']"
2_2,"[13.34, -20.76, 5.41]","['81.08413122429991', '150.1663715220458', '75.22871206891377']"
2_3,"[13.39, -20.62, 5.48]","['80.71956309876248', '148.44843057573138', '74.10174135299634']"
2_4,"[13.13, -20.63, 5.11]","['80.11629634632268', '149.70199905450124', '75.02890524751807']"
2_5,"[13.29, -20.9, 4.76]","['80.6755406931295', '149.75907669590896', '80.35462086337184']"
2_6,"[13.34, -20.73, 4.88]","['81.34367819521948', '149.68487959177583', '77.91925039539255']"
2_7,"[13.12, -20.8, 3.98]","['79.50552646887725', '148.05895869691682', '81.10980221058755']"
2_8,"[12.96, -20.65, 5.41]","['81.13093170712007', '150.64585436775573', '75.05750979362708']"
2_9,"[12.88, -20.23, 5.49]","['82.4341475913905', '150.51146651861976', '73.36761188930646']"
2_10,"[13.64, -20.94, 6.6]","['84.43932442651878', '153.29775649105116', '70.85470128560625']"
2_11,"[13.2, -20.93, 4.95]","['80.12438650306748', '148.95168711656441', '75.66342024539877']"
2_12,"[13.15, -20.77, 5.42]","['79.81220178622405', '148.80657395701644', '71.61645120508952']"
2_13,"[12.84, -20.28, 5.22]","['82.49825264547032', '151.34240817224273', '76.74459297636794']"
2_14,"[13.17, -20.87, 6.02]","['83.02350934892503', '152.5699494488093', '74.08971313721908']"
2_15,"[13.43, -21.07, 5.93]","['81.94806153368037', '151.89705539585114', '71.969893559164']"
2_16,"[13.27, -20.53, 5.89]","['81.10084168520514', '147.8012751416187', '71.1018049216797']"
2_17,"[13.33, -20.73, 5.48]","['81.1678596217248', '150.04474665972583', '75.50193041818497']"
2_18,"[13.28, -20.83, 4.71]","['80.12059105078423', '149.09283031835253', '77.80655850371862']"
2_19,"[13.53, -21.19, 5.57]","['79.65781532890766', '148.1918065959033', '72.31839965919983']"
2_20,"[13.3, -20.55, 5.23]","['79.69331235247836', '149.002871754524', '73.1188434303698']"
3_1,"[13.55, -21.01, 7.08]","['84.21352817555349', '153.03440692048287', '64.89023019402767']"
3_2,"[13.47, -21.22, 5.97]","['83.35091251542508', '153.33025914139117', '72.68993959862311']"
3_3,"[13.26, -21.12, 5.25]","['81.17208945864976', '150.30976102556957', '74.95164773914861']"
3_4,"[12.96, -20.46, 4.03]","['78.62555998008959', '147.26163514186163', '81.22405425584869']"
3_5,"[13.01, -20.92, 4.61]","['78.84372961308777', '148.84950067747278', '77.45475987353842']"
3_6,"[13.49, -20.87, 5.62]","['82.24501655517264', '151.70275018582336', '72.77261977160619']"
3_7,"[13.19, -20.75, 4.36]","['78.49164389654953', '147.8457774671157', '78.14837643769461']"
